LSOA11CD,PTAI
E01000845,3.018509237
E01000846,9.40693132
E01000847,3.589981945
E01000848,19.25618475
E01000849,37.49569162
E01000850,46.40208439
E01000851,11.53443709
E01000852,67.56597182
E01000853,181.4377251
E01000854,179.1546697
E01000855,345.7387896
E01000856,180.0742114
E01000857,224.8148515
E01000858,44.2781606
E01000859,159.9029483
E01000860,23.9603792
E01000861,103.6485142
E01000862,63.40546272
E01000863,51.35429328
E01000864,46.61256671
E01000865,236.854919
E01000866,167.6836483
E01000867,131.8226218
E01000868,200.6481513
E01000869,6.442254721
E01000870,266.1333468
E01000871,93.29562396
E01000872,377.0626295
E01000873,144.9949736
E01000874,16.52057864
E01000875,472.9815035
E01000876,77.25305417
E01000877,83.10747653
E01000878,95.67719581
E01000879,71.55529503
E01000880,23.51892776
E01000881,357.7144957
E01000882,48.8989345
E01000883,20.91702517
E01000884,206.7471978
E01000885,124.9373971
E01000886,122.3885079
E01000887,11.30311776
E01000888,289.0531258
E01000889,200.1827235
E01000890,49.08773451
E01000891,106.1777243
E01000892,249.4401258
E01000893,41.61108804
E01000894,375.5468585
E01000895,288.8070135
E01000896,232.9851931
E01000897,53.1929665
E01000898,265.7918891
E01000899,178.1479383
E01000900,61.19695751
E01000901,635.6012994
E01000902,427.3592691
E01000903,18.93858265
E01000904,310.0054093
E01000905,424.5975223
E01000906,424.3156313
E01000907,280.5362767
E01000908,263.9988231
E01000909,166.9129618
E01000910,30.18647284
E01000911,730.9123817
E01000912,647.3741392
E01000913,106.0392743
E01000914,46.15513124
E01000915,311.8348303
E01000916,69.89707695
E01000917,77.9053719
E01000918,317.7743482
E01000919,635.2622149
E01000920,385.9806535
E01000921,43.26526715
E01000922,115.4962328
E01000923,121.2301942
E01000924,298.5517193
E01000925,173.1483453
E01000926,310.9272777
E01000927,78.1618034
E01000928,158.2672046
E01000929,110.454415
E01000930,257.8485888
E01000931,367.9644609
E01000932,170.2552007
