ward,dow,slot,officers_alloc,hours_alloc,benefit
Coulsdon Town,3,6,100,200,0.0701194248989384
Courtfield,0,6,100,200,0.2781206636472116
Courtfield,2,6,100,200,0.24501123341378517
Courtfield,6,6,100,200,0.23838988309302214
Courtfield,3,6,100,200,0.23176799491132488
Cranbrook,0,6,100,200,0.3573837596065995
Cranbrook,6,6,100,200,0.3474559035829027
Cranbrook,4,6,100,200,0.2581105814586905
Cranbrook,3,6,100,200,0.2481836604556922
Cranford,4,6,100,200,0.21871638070635582
Cranford,0,6,100,200,0.17397887138452992
Cranford,2,6,100,200,0.1540955320783034
Cranford,3,6,100,200,0.13918329447550398
Crayford,0,6,100,200,0.1976973304401827
Crayford,4,6,100,200,0.19063678149659458
Crayford,5,6,100,200,0.18357592089840757
Crayford,6,6,100,200,0.16239445943051142
Cricket Green,6,6,100,200,0.429748796531907
Cricket Green,4,6,100,200,0.40771032199157975
Cricket Green,3,6,100,200,0.38567174893958583
Cricket Green,2,6,100,200,0.297518134138624
Cricklewood,2,6,100,200,0.3821526720734971
Cricklewood,5,6,100,200,0.36919873949046605
Cricklewood,0,6,100,200,0.36919851747875215
Cricklewood,4,6,100,200,0.3627217225327405
Cricklewood & Mapesbury,6,6,100,200,0.4954320739283077
Cricklewood & Mapesbury,1,6,100,200,0.4584598301552786
Cricklewood & Mapesbury,3,6,100,200,0.4362760630909074
Cricklewood & Mapesbury,2,6,100,200,0.428881450114201
Cripplegate,4,6,100,200,0.10013212892886768
Cripplegate,2,6,100,200,0.09242988837842273
Cripplegate,5,6,100,200,0.08472768271712823
Cripplegate,6,6,100,200,0.06932241785341292
Crofton Park,1,6,100,200,0.24827090633985324
Crofton Park,2,6,100,200,0.24827063589915907
Crofton Park,5,6,100,200,0.22699067819648686
Crofton Park,3,6,100,200,0.21280387125781255
Crouch End,2,6,100,200,0.8434111213428137
Crouch End,5,6,100,200,0.8434109046892371
Crouch End,4,6,100,200,0.7229243552256703
Crouch End,3,6,100,200,0.7078626909067065
Crystal Palace & Anerley,2,6,100,200,0.2282449181956032
Crystal Palace & Anerley,4,6,100,200,0.1867460529082384
Crystal Palace & Anerley,6,6,100,200,0.1608095614712225
Crystal Palace & Anerley,3,6,100,200,0.1400597987472119
Crystal Palace & Upper Norwood,6,6,100,200,0.5470966627871696
Crystal Palace & Upper Norwood,4,6,100,200,0.443591795768606
Crystal Palace & Upper Norwood,5,6,100,200,0.4288058653885687
Crystal Palace & Upper Norwood,2,6,100,200,0.384446103259888
Custom House,6,6,100,200,0.10743168867909067
Custom House,0,6,100,200,0.08789889579500718
Custom House,5,6,100,200,0.08301556233862678
Custom House,4,6,100,200,0.0805740719240219
